key,author,year,citation,note,URL
AH97b,J. P. Amend and H. C. Helgeson,1997,"J. Chem. Soc., Faraday Trans. 93, 1927-1941",amino acids GHS,https://doi.org/10.1039/A608126F
AP01,J. P. Amend and A. V. Plyasunov,2001,"Geochim. Cosmochim. Acta 65, 3901-3917",carbohydrates,https://doi.org/10.1016/S0016-7037(01)00707-4
BKK77,"I. Barin, O. Knacke and O. Kubaschewski",1977,Thermochemical Properties of Inorganic Substances: Supplement,willemite Cp,https://www.worldcat.org/oclc/695258
CS16,P. A. Canovas III and E. L. Shock,2016,"Geochim. Cosmochim. Acta 195, 293-322",citric acid cycle metabolites,https://doi.org/10.1016/j.gca.2016.08.028
CS16.1,P. A. Canovas III and E. L. Shock,2016,"Geochim. Cosmochim. Acta 195, 293-322",citric acid species HKF a1--a4 parameters,https://doi.org/10.1016/j.gca.2016.08.028
DLH06.1,"J. M. Dick, D. E. LaRowe and H. C. Helgeson",2006,"Biogeosciences 3, 311-336",amino acids HKF parameters,https://doi.org/10.5194/bg-3-311-2006
DLH06.3,"J. M. Dick, D. E. LaRowe and H. C. Helgeson",2006,"Biogeosciences 3, 311-336","glycine, [Gly], and [UPBB] HKF parameters",https://doi.org/10.5194/bg-3-311-2006
DLH06.4,"J. M. Dick, D. E. LaRowe and H. C. Helgeson",2006,"Biogeosciences 3, 311-336",methionine HKF parameters,https://doi.org/10.5194/bg-3-311-2006
GKL02,R. N. Goldberg et al.,2002,"J. Phys. Chem. Ref. Data 31, 231-370","glycine, diglycine, and triglycine (+1 and -1 ions) GHS",https://doi.org/10.1063/1.1416902
HDNB78,"H. C. Helgeson, J. M. Delany et al.",1978,"Am. J. Sci. 278A, 1-229",data for minerals and phase transitions,https://www.worldcat.org/oclc/13594862
HDNB78.1,"H. C. Helgeson, J. M. Delany et al.",1978,"Am. J. Sci. 278A, 1-229","litharge S, V, and Cp parameters",https://www.worldcat.org/oclc/13594862
HDNB78.2,"H. C. Helgeson, J. M. Delany et al.",1978,"Am. J. Sci. 278A, 1-229",celestite V and Cp parameters,https://www.worldcat.org/oclc/13594862
Hel85,H. C. Helgeson,1985,"Am. J. Sci. 285, 845-855",ferrosilite and siderite,https://doi.org/10.2475/ajs.285.9.845
HSS95,"J. R. Haas, E. L. Shock and D. C. Sassani",1995,"Geochim. Cosmochim. Acta 59, 4329-4350",complexes of rare earth elements,https://doi.org/10.1016/0016-7037(95)00314-P
JH85,K. J. Jackson and H. C. Helgeson,1985,"Econ. Geol. 80, 1365-1378",Sn minerals,https://doi.org/10.2113/gsecongeo.80.5.1365
Kel60,K. K. Kelley,1960,U. S. Bureau of Mines Bull. 584,gases Cp,https://www.worldcat.org/oclc/693388901
Kel60.2,K. K. Kelley,1960,U. S. Bureau of Mines Bull. 584,iron Cp,https://www.worldcat.org/oclc/693388901
Kel60.3,K. K. Kelley,1960,U. S. Bureau of Mines Bull. 584,gypsum Cp,https://www.worldcat.org/oclc/693388901
Kit14,N. Kitadai,2014,"J. Mol. Evol. 78, 171-187","glycine, diglycine, and triglycine (zwitterions and ions); diketopiperazine, [Gly] and [UPBB] groups",https://doi.org/10.1007/s00239-014-9616-1
Kit15,N. Kitadai,2015,"Origins Life Evol. Biospheres 45, 377-409",charged amino acids,https://doi.org/10.1007/s11084-015-9428-3
LA16,D. E. LaRowe and J. P. Amend,2016,"ISME J. 10, 1285-1295","fatty acids, saccharides, and other species",https://doi.org/10.1038/ismej.2015.227
LCT17,"A. R. Lowe, J. S. Cox and P. R. Tremaine",2017,"J. Chem. Thermodynamics 112, 129-145",adenine HKF parameters,https://doi.org/10.1016/j.jct.2017.04.005
LD12.2,D. E. LaRowe and J. M. Dick,2012,"Geochim. Cosmochim. Acta 80, 70-91",methionine GHS,https://doi.org/10.1016/j.gca.2011.11.041
LH06a,D. E. LaRowe and H. C. Helgeson,2006,"Geochim. Cosmochim. Acta 70, 4680-4724","nucleic-acid bases, nucleosides, and nucleotides",https://doi.org/10.1016/j.gca.2006.04.010
LH06a.1,D. E. LaRowe and H. C. Helgeson,2006,"Geochim. Cosmochim. Acta 70, 4680-4724",citric acid and citrate,https://doi.org/10.1016/j.gca.2006.04.010
LH06b,D. E. LaRowe and H. C. Helgeson,2006,"Thermochim. Acta 448, 82-106","Mg-complexed adenosine nucleotides (ATP), NAD, and NADP",https://doi.org/10.1016/j.tca.2006.06.008
LS20,J. A. M. Leong and E. L. Shock,2020,"American Journal of Science, 320(3), 185-235","Fe-brucite, minnesotaite, Mg-cronstedtite, hisingerite",https://ajsonline.org/article/65783.pdf
LX20,Liu and Xiao,2020,Chemical Geology 584: 120488,huebnerite Cp,10.1016/j.oregeorev.2019.103289
MGN03,"J. Majzlan, K.-D. Grevel and A. Navrotsky",2003,"Am. Mineral. 88, 855-859","goethite, lepidocrocite, and maghemite GHS",https://doi.org/10.2138/am-2003-5-614
MS97,T. M. McCollom and E. L. Shock,1997,"Geochim. Cosmochim. Acta 61, 4375-4391","MgSO4, NaSO4-, and HCl",https://doi.org/10.1016/S0016-7037(97)00241-X
MS97.1,T. M. McCollom and E. L. Shock,1997,"Geochim. Cosmochim. Acta 61, 4375-4391",sulfur,https://doi.org/10.1016/S0016-7037(97)00241-X
MS97.2,T. M. McCollom and E. L. Shock,1997,"Geochim. Cosmochim. Acta 61, 4375-4391",aqueous HCl,https://doi.org/10.1016/S0016-7037(97)00241-X
MS99,W. M. Murphy and E. L. Shock,1999,"Rev. Mineral. Geochem. 38, 221-253",actinides,http://rimg.geoscienceworld.org/content/38/1/221
Nor13,D. K. Nordstrom,2013,"Proced. Earth Plan. Sc. 7, 624-627",portlandite,https://doi.org/10.1016/j.proeps.2013.03.140
OBIGT.1,J. M. Dick,2017,OBIGT database in CHNOSZ,GHS (Tr) of the phase that is stable at 298.15 K was combined with Htr and the Cp coefficients to calculate the metastable GHS (Tr) of the phases that are stable at higher temperatures.,http://chnosz.net
Pan70,L. B. Pankratz,1970,U. S. Bureau of Mines Report of Investigations 7430,chlorargyrite,https://www.worldcat.org/oclc/14154245
PB82,L. N. Plummer and E. Busenberg,1982,"Geochim. Cosmochim. Acta 46, 1011-1040",aragonite and calcite,https://doi.org/10.1016/0016-7037(82)90056-4
PK70,L. B. Pankratz and E. G. King,1970,U. S. Bureau of Mines Report of Investigations 7435,bornite and chalcopyrite,https://www.worldcat.org/oclc/14154292
PMW87.1,"L. B. Pankratz, A. D. Mah, and S. W. Watson",1987,"United States Department of the Interior, Bureau of Mines. (Bulletin; Vol. 689)",linnaeite,https://www.worldcat.org/oclc/16131757
PS01,A. V. Plyasunov and E. L. Shock,2001,"Geochim. Cosmochim. Acta 65, 3879-3900",aqueous nonelectrolytes,https://doi.org/10.1016/S0016-7037(01)00678-0
RA87,E. J. Reardon and D. K. Armstrong,1987,"Geochim. Cosmochim. Acta 51, 63-72",celestite GHS,https://doi.org/10.1016/0016-7037(87)90007-X
RHF78,"R. A. Robie, B. S. Hemingway and J. R. Fisher",1978,U. S. Geological Survey Bull. 1452,chlorargyrite,https://doi.org/10.3133/b1452
RHF78.2,"R. A. Robie, B. S. Hemingway and J. R. Fisher",1978,U. S. Geological Survey Bull. 1452,iron,https://doi.org/10.3133/b1452
RHF78.3,"R. A. Robie, B. S. Hemingway and J. R. Fisher",1978,U. S. Geological Survey Bull. 1452,gibbsite GHS,https://doi.org/10.3133/b1452
RHF78.4,"R. A. Robie, B. S. Hemingway and J. R. Fisher",1978,U. S. Geological Survey Bull. 1452,rutile and titanite,https://doi.org/10.3133/b1452
RH95,R. A. Robie and B. S. Hemingway,1995,U. S. Geological Survey Bull. 2131,"gypsum, manganese, manganosite, pyrolusite, bixbyite, hausmannite, huebneritecobalt, cobalt monoxide, guite, cattierite, linnaeite, wustite, willemite, and zinc",https://doi.org/10.3133/b2131
Rob24,"K. J. Robinson et al.,",2024,"Geochim. Cosmochim. Acta 372, 62-80","alkylamines, benzylamines, and benzyl alcohol",https://doi.org/10.1016/j.gca.2024.03.013
SH88,E. L. Shock and H. C. Helgeson,1988,"Geochim. Cosmochim. Acta 52, 2009-2036",ionic species,https://doi.org/10.1016/0016-7037(88)90181-0
SH88.1,E. L. Shock and H. C. Helgeson,1988,"Geochim. Cosmochim. Acta 52, 2009-2036",values of GHS,https://doi.org/10.1016/0016-7037(88)90181-0
SH88.2,E. L. Shock and H. C. Helgeson,1988,"Geochim. Cosmochim. Acta 52, 2009-2036",H2AsO3-,https://doi.org/10.1016/0016-7037(88)90181-0
SH88.3,E. L. Shock and H. C. Helgeson,1988,"Geochim. Cosmochim. Acta 52, 2009-2036",Ag+,https://doi.org/10.1016/0016-7037(88)90181-0
SH88.4,E. L. Shock and H. C. Helgeson,1988,"Geochim. Cosmochim. Acta 52, 2009-2036","K+, Na+, Ca+2, Mg+2, Cl-, and OH-",https://doi.org/10.1016/0016-7037(88)90181-0
SH90,E. L. Shock and H. C. Helgeson,1990,"Geochim. Cosmochim. Acta 54, 915-945",organic species,https://doi.org/10.1016/0016-7037(90)90429-O
Sho93.1,E. L. Shock,1993,"Geochim. Cosmochim. Acta 57, 3341-3349",carbon monoxide and ethylene,https://doi.org/10.1016/0016-7037(93)90542-5
Sho95,E. L. Shock,1995,"Am. J. Sci. 295, 496-580",carboxylic acids,https://doi.org/10.2475/ajs.295.5.496
SHS89,"E. L. Shock, H. C. Helgeson and D. A. Sverjensky",1989,"Geochim. Cosmochim. Acta 53, 2157-2183",inorganic neutral species,https://doi.org/10.1016/0016-7037(89)90341-4
SHS89.1,"E. L. Shock, H. C. Helgeson and D. A. Sverjensky",1989,"Geochim. Cosmochim. Acta 53, 2157-2183",SiO2,https://doi.org/10.1016/0016-7037(89)90341-4
SK93,E. L. Shock and C. M. Koretsky,1993,"Geochim. Cosmochim. Acta 57, 4899-4922",metal-acetate complexes,https://doi.org/10.1016/0016-7037(93)90128-J
SK95,E. L. Shock and C. M. Koretsky,1995,"Geochim. Cosmochim. Acta 59, 1497-1532",metal-organic acid complexes,https://doi.org/10.1016/0016-7037(95)00058-8
SLOP16.3,E. L. Shock et al.,2016,slop16.dat computer data file,"formaldehyde: ""Entropy corrected to be compatible with the equation ΔH=ΔG+TΔS for the formation reaction from elements. See footnote i in table 2 of @SS93.""",https://doi.org/10.5281/zenodo.2630820
SLOP16.5,E. L. Shock et al.,2016,slop16.dat computer data file,"n-octanoate: ""Enthalpy corrected to be compatible with the equation ΔG=ΔH-TΔS for the formation reaction from elements. See footnote ab in table 4 of @Sho95.""",https://doi.org/10.5281/zenodo.2630820
SLOP16.7,E. L. Shock et al.,2016,slop16.dat computer data file,"hexanol, heptanol, and octanol: ""Minor differences in Gibbs energy, entropy, ω, a1, a2, a3, a4 and c1 values compared to @SH90.""",https://doi.org/10.5281/zenodo.2630820
SLOP98.10,E. L. Shock et al.,1998,slop98.dat computer data file,"""Corrected values based on data from @HSS95 """,http://geopig.asu.edu/?q=tools
SLOP98.11,E. L. Shock et al.,1998,slop98.dat computer data file,"""Data and parameters as used by @MS97. """,http://geopig.asu.edu/?q=tools
SLOP98.2,E. L. Shock et al.,1998,slop98.dat computer data file,"daphnite; ""Gf and Hf from @SS93a TMM""",http://geopig.asu.edu/?q=tools
SLOP98.8,E. L. Shock et al.,1998,slop98.dat computer data file,"""These data were used in @SK95, but were not tabulated in the paper.""",http://geopig.asu.edu/?q=tools
SM93,E. L. Shock and W. B. McKinnon,1993,"Icarus 106, 464-477","CO, HCN, urea",https://doi.org/10.1006/icar.1993.1185
SPRONS92.2,H. C. Helgeson et al.,1992,sprons92.dat computer data file,"Ca-bearing minerals; ""Gibbs free energies and enthalpies were corrected to be consistent with updated values of Gibbs free energies of Ca2+ and CO32- [@SH88] together with the solubilities of calcite and aragonite reported by @PB82 """,NA_character_
SUF+98,H. Senoh et al.,1998,"J. Alloys Compd. 280, 114-124",Mn(OH)2: Cp coefficients from linear fit to values estimated by @SUF+98,https://doi.org/10.1016/S0925-8388(98)00739-7
SS93,M. D. Schulte and E. L. Shock,1993,"Geochim. Cosmochim. Acta 57, 3835-3846",aldehydes,https://doi.org/10.1016/0016-7037(93)90337-V
SS98a,D. C. Sassani and E. L. Shock,1998,"Geochim. Cosmochim. Acta 62, 2643-2671",platinum-group ions and complexes,https://doi.org/10.1016/S0016-7037(98)00049-0
SS98a.1,D. C. Sassani and E. L. Shock,1998,"Geochim. Cosmochim. Acta 62, 2643-2671",platinum-group solids,https://doi.org/10.1016/S0016-7037(98)00049-0
SS98a.2,D. C. Sassani and E. L. Shock,1998,"Geochim. Cosmochim. Acta 62, 2643-2671",Rh+3,https://doi.org/10.1016/S0016-7037(98)00049-0
SS98a.3,D. C. Sassani and E. L. Shock,1998,"Geochim. Cosmochim. Acta 62, 2643-2671",Pd+2 and Pt+2 and their complexes,https://doi.org/10.1016/S0016-7037(98)00049-0
SSB97,"E. L. Shock, D. C. Sassani and H. Betz",1997,"Geochim. Cosmochim. Acta 61, 4245-4266",uranium species,https://doi.org/10.1016/S0016-7037(97)00240-8
SSB97.1,"E. L. Shock, D. C. Sassani and H. Betz",1997,"Geochim. Cosmochim. Acta 61, 4245-4266",uraninite,https://doi.org/10.1016/S0016-7037(97)00240-8
SSH97,"D. A. Sverjensky, E. L. Shock and H. C. Helgeson",1997,"Geochim. Cosmochim. Acta 61, 1359-1412",metal complexes,https://doi.org/10.1016/S0016-7037(97)00009-4
SSH97.1,"D. A. Sverjensky, E. L. Shock and H. C. Helgeson",1997,"Geochim. Cosmochim. Acta 61, 1359-1412",Au(HS)2- and Ag(HS)2-,https://doi.org/10.1016/S0016-7037(97)00009-4
SSH97.2,"D. A. Sverjensky, E. L. Shock and H. C. Helgeson",1997,"Geochim. Cosmochim. Acta 61, 1359-1412",HSiO3-,https://doi.org/10.1016/S0016-7037(97)00009-4
SSH97.3,"D. A. Sverjensky, E. L. Shock and H. C. Helgeson",1997,"Geochim. Cosmochim. Acta 61, 1359-1412","Au-, Ag-, Cu- and Zn-chloride complexes",https://doi.org/10.1016/S0016-7037(97)00009-4
SSH97.4,"D. A. Sverjensky, E. L. Shock and H. C. Helgeson",1997,"Geochim. Cosmochim. Acta 61, 1359-1412",Zn-acetate complexes,https://doi.org/10.1016/S0016-7037(97)00009-4
SSH97.5,"D. A. Sverjensky, E. L. Shock and H. C. Helgeson",1997,"Geochim. Cosmochim. Acta 61, 1359-1412","NaHSiO3, CaHSiO3+, and MgHSiO3+",https://doi.org/10.1016/S0016-7037(97)00009-4
SSWS97,"E. L. Shock, D. C. Sassani et al.",1997,"Geochim. Cosmochim. Acta 61, 907-950",aqueous ions and hydroxide complexes,https://doi.org/10.1016/S0016-7037(96)00339-0
SSWS97.1,"E. L. Shock, D. C. Sassani et al.",1997,"Geochim. Cosmochim. Acta 61, 907-950",zincite and litharge,https://doi.org/10.1016/S0016-7037(96)00339-0
SSWS97.2,"E. L. Shock, D. C. Sassani et al.",1997,"Geochim. Cosmochim. Acta 61, 907-950",Au+ and Cu+,https://doi.org/10.1016/S0016-7037(96)00339-0
SSWS97.3,"E. L. Shock, D. C. Sassani et al.",1997,"Geochim. Cosmochim. Acta 61, 907-950",arsenate and arsenite species,https://doi.org/10.1016/S0016-7037(96)00339-0
SSWS97.4,"E. L. Shock, D. C. Sassani et al.",1997,"Geochim. Cosmochim. Acta 61, 907-950",Al+3 and Al-hydroxide complexes,https://doi.org/10.1016/S0016-7037(96)00339-0
SSWS97.5,"E. L. Shock, D. C. Sassani et al.",1997,"Geochim. Cosmochim. Acta 61, 907-950",Zn+2 and Zn-hydroxide complexes,https://doi.org/10.1016/S0016-7037(96)00339-0
WEP+82.1,"D. D. Wagman, W. H. Evans et al.",1982,"J. Phys. Chem. Ref. Data 11, Suppl. 2, 1-392",Mn(OH)2 (amorphous) and MgSO4,https://srd.nist.gov/JPCRD/jpcrdS2Vol11.pdf
WEP+82,"D. D. Wagman, W. H. Evans et al.",1982,"J. Phys. Chem. Ref. Data 11, Suppl. 2, 1-392",gases GHS,https://srd.nist.gov/JPCRD/jpcrdS2Vol11.pdf
HGK84,L. Haar and J. S. Gallagher and G. S. Kell,1984,NBS/NRC Steam Tables,thermodynamic properties of H<sub>2</sub>O outside of the critical region,https://www.worldcat.org/oclc/858456124
JOH92,J. W. Johnson and E. H. Oelkers and H. C. Helgeson,1992,"Comp. Geosci. 18, 899-947",thermodynamic and electrostatic properties of H<sub>2</sub>O calculated using HO92D.f source file from SUPCRT92 modified for use in CHNOSZ,https://doi.org/10.1016/0098-3004(92)90029-Q
RH95.3,R. A. Robie and B. S. Hemingway,1995,U. S. Geological Survey Bull. 2131,"almandine, dickite, glaucophane, grunerite, halloysite, pyrope: GHS and Cp at 25 &deg;C",https://doi.org/10.3133/b2131
RH95.4,R. A. Robie and B. S. Hemingway,1995,U. S. Geological Survey Bull. 2131,fluorphlogopite (Al/Si disordered) (G and H not in SUPCRT92),https://doi.org/10.3133/b2131
RH95.5,R. A. Robie and B. S. Hemingway,1995,U. S. Geological Survey Bull. 2131,larnite (G and H not in SUPCRT92); Cp from @Kel60,https://doi.org/10.3133/b2131
RH95.6,R. A. Robie and B. S. Hemingway,1995,U. S. Geological Survey Bull. 2131,bromellite (melting temperature and G and H not in SUPCRT92),https://doi.org/10.3133/b2131
DSM+97,"J. D. Dale, E. L. Shock et al.",1997,"Geochim. Cosmochim. Acta 61, 4017-4024",alkylphenols,https://doi.org/10.1016/S0016-7037(97)00212-3
SLOP98.1,E. L. Shock et al.,1998,slop98.dat computer data file,"zincite and litharge; &quot;These data were used in @SSWS97, but were not tabulated in the paper.&quot;",https://doi.org/10.5281/zenodo.2630820
PSK99,"P. Prapaipong, E. L. Shock and C. M. Koretsky",1999,"Geochim. Cosmochim. Acta 63, 2547-2577",metal-dicarboxylate complexes,https://doi.org/10.1016/S0016-7037(99)00146-5
PSK99.1,"P. Prapaipong, E. L. Shock and C. M. Koretsky",1999,"Geochim. Cosmochim. Acta 63, 2547-2577",Al(Mal)<sup>+</sup> and Al(Oxal)<sup>+</sup>,https://doi.org/10.1016/S0016-7037(99)00146-5
SLOP07.2,E. L. Shock et al.,2007,slop07.dat computer data file,high temperature HKF parameters from @AP01,https://doi.org/10.5281/zenodo.2630820
SLOP16.1,E. L. Shock et al.,2016,slop16.dat computer data file,&quot;Enthalpy changed to be compatible with the equation &Delta;H=&Delta;G+T&Delta;S for the formation reaction from elements.&quot;,https://doi.org/10.5281/zenodo.2630820
SLOP16.2,E. L. Shock et al.,2016,slop16.dat computer data file,Zn(Ac)<sub>3</sub><sup>-</sup>: &quot;Enthalpy changed to be compatible with the equation &Delta;H=&Delta;G+T&Delta;S for the formation reaction from elements. See footnote h in table 2 of @SSH97.&quot;,https://doi.org/10.5281/zenodo.2630820
SLOP16.4,E. L. Shock et al.,2016,slop16.dat computer data file,adipic acid and n-dodecanoate: &quot;Gibbs free energy corrected to be compatible with the equation &Delta;G=&Delta;H-T&Delta;S for the formation reaction from elements. See footnote y in table 4 of @Sho95.&quot;,https://doi.org/10.5281/zenodo.2630820
SLOP16.6,E. L. Shock et al.,2016,slop16.dat computer data file,&quot;Enthalpy corrected to be compatible with the equation &Delta;G=&Delta;H-T&Delta;S for the formation reaction from elements.&quot;,https://doi.org/10.5281/zenodo.2630820
LA19,D. E. LaRowe and J. P. Amend,2019,"Geomicrobiol. J. 36, 492-505","dimethylamine, trimethylamine, resorcinol, phloroglucinol, cyclohexane carboxylate, and cyclohexane carboxylic acid",https://doi.org/10.1080/01490451.2019.1573278
OBIGT.9,J. M. Dick,2021,OBIGT database in CHNOSZ,"diaminopimelic acid, putrescine and spermidine: parameters recalculated to account for a missing [-CH2NH2] group in the group additivity equations",https://chnosz.net
SLOP16,E. L. Shock et al.,2016,slop16.dat computer data file,many species,https://doi.org/10.5281/zenodo.2630820
SM92,D. A. Sverjensky and P. A. Molling,1992,"Nature, 356(6366), 231-234",Gibbs free energy of formation of Fe-hydroxide,https://doi.org/10.1038/356231a0
MB09,T. M. McCollom and W. Bach,2009,"Geochim. Cosmochim. Acta, 73(3), 856-875","Entropy and heat capacity equation parameters a, b, and c for Fe-hydroxide",https://doi.org/10.1016/j.gca.2008.10.032
Catalano13,J. G. Catalano,2013,"Journal of Geophysical Research: Planets, 118(10), 2124-2136",phyllosilicates,https://doi.org/10.1002/jgre.20161
